id|course_id|grade
3|10|13.7
3|10|14.2
3|10|14.5
3|10|13.9
3|10|17.1
3|5|17.25
3|5|8.75
3|5|13.25
3|2|10.5
3|2|13.5
3|2|18.5
3|2|13.5
3|2|13.5
3|2|13
3|2|15
3|2|13.5
3|3|17.2
3|3|16.1
3|3|13.7
3|3|13.6
3|3|14.6
3|7|9
3|7|10.75
3|7|10.25
3|7|10.25
3|7|9.75
3|7|8
3|7|10.25
3|7|8.25
3|7|8
3|7|7.5
3|9|10
3|9|11
3|9|10
3|8|18
3|8|10.5
3|8|7.75
3|8|8.25
3|8|7
3|8|11.5
3|8|10.5
3|8|10.75
3|8|9.25
3|8|6
3|6|8
3|6|5
3|6|12
3|6|9.5
3|6|7
3|6|6
3|6|7.5
3|6|12
3|1|14.5
3|1|8
3|1|8.5
3|4|15
3|4|10.5
3|4|13.5
8|10|12.9
8|10|12
8|10|13.9
8|10|15.9
8|10|12.6
8|5|15.5
8|5|10.75
8|5|18.5
8|2|13
8|2|16
8|2|10
8|2|15
8|2|13.5
8|2|15
8|2|12.5
8|2|14
8|3|7.9
8|3|12.9
8|3|12.2
8|3|17.8
8|3|13.2
8|7|9.5
8|7|9.25
8|7|$
8|7|8
8|7|8.75
8|7|9.5
8|7|9.75
8|7|9.5
8|7|8.75
8|7|9.75
8|9|10
8|9|11
8|9|13
8|8|12.75
8|8|10
8|8|7.5
8|8|15.5
8|8|7.75
8|8|6.25
8|8|2.75
8|8|8.5
8|8|15.25
8|8|5
8|6|6.5
8|6|1
8|6|6
8|6|10
8|6|11
8|6|6
8|6|14
8|6|7
8|1|12.5
8|1|11
8|1|4.5
8|4|15.5
8|4|13.5
8|4|11.5
99|10|16.6
99|10|9.9
99|10|11.3
99|10|14.4
99|10|10.8
99|5|10.25
99|5|10.75
99|5|15.5
99|2|12
99|2|16
99|2|13.5
99|2|13.5
99|2|12.5
99|2|10.5
99|2|14.5
99|2|14
99|3|10.5
99|3|15.3
99|3|13.1
99|3|14.7
99|3|14
99|7|10.5
99|7|8
99|7|9.5
99|7|13
99|7|9.75
99|7|10.5
99|7|8.25
99|7|8.5
99|7|7.75
99|7|8
99|9|9
99|9|12
99|9|12
99|8|14
99|8|11.25
99|8|4.25
99|8|14
99|8|7.5
99|8|9.25
99|8|2.75
99|8|11
99|8|11.5
99|8|11.25
99|6|6.5
99|6|7.5
99|6|4.5
99|6|8.5
99|6|8.5
99|6|10
99|6|6
99|6|11
99|1|6.5
99|1|11.5
99|1|4.5
99|4|9.5
99|4|12.5
99|4|13.5
104|10|13.9
104|10|16.9
104|10|15
104|10|13.7
104|10|11.6
104|5|18.25
104|5|15.25
104|5|15.75
104|2|15.5
104|2|12
104|2|15.5
104|2|13
104|2|14.5
104|2|14.5
104|2|10.5
104|3|10.9
104|3|12.1
104|3|14.6
104|3|13.3
104|3|13.8
104|7|8.75
104|7|10.75
104|7|8.25
104|7|10.25
104|7|12
104|7|11.75
104|7|8.25
104|7|8.75
104|7|9.5
104|7|9
104|9|11
104|9|10
104|9|11
104|8|2.5
104|8|5.75
104|8|6.5
104|8|12.75
104|8|5.75
104|8|6.5
104|8|10.75
104|8|11.25
104|8|7.25
104|8|9.75
104|6|7
104|6|10
104|6|9.5
104|6|5
104|6|6
104|6|5
104|6|6
104|6|5
104|1|3
104|1|3
104|1|7
104|4|13.5
104|4|12.5
104|4|14.5
200|10|17
200|10|11.3
200|10|17.3
200|10|12.6
200|10|12.3
200|5|19.25
200|5|17.25
200|5|18
200|2|13
200|2|19
200|2|12
200|2|12.5
200|2|$
200|2|13
200|2|12
200|2|13.5
200|3|13.6
200|3|$
200|3|11.2
200|3|12.1
200|3|10.1
200|7|10.25
200|7|8.75
200|7|9.75
200|7|9
200|7|11.5
200|7|9.75
200|7|11.5
200|7|9.25
200|7|$
200|9|11
200|9|12
200|9|11
200|8|7
200|8|9.75
200|8|14.25
200|8|10.5
200|8|8.25
200|8|7
200|8|4.75
200|8|8.75
200|8|7
200|8|5.75
200|6|8.5
200|6|10.5
200|6|7
200|6|4.5
200|6|5
200|6|9.5
200|6|5.5
200|6|8
200|1|8
200|1|7.5
200|1|9.5
200|4|12.5
200|4|11
200|4|12.5
250|10|13.2
250|10|15
250|10|13.9
250|10|12.3
250|10|14.8
250|5|15.25
250|5|14
250|5|12.25
250|2|12.5
250|2|14.5
250|2|16
250|2|14
250|2|15
250|2|15.5
250|2|16
250|2|11
250|3|10.5
250|3|13.2
250|3|13.3
250|3|12.1
250|3|14.2
250|7|7.5
250|7|10.25
250|7|9.5
250|7|10.75
250|7|8.5
250|7|12
250|7|12.25
250|7|13.25
250|7|8
250|7|9
250|9|13
250|9|10
250|9|12
250|8|5.75
250|8|14.5
250|8|11.25
250|8|11
250|8|9.5
250|8|5.5
250|8|$
250|8|15.25
250|8|4.75
250|8|6.5
250|6|9.5
250|6|8
250|6|11.5
250|6|12.5
250|6|7.5
250|6|5.5
250|6|9
250|6|10
250|1|5
250|1|9.5
250|1|7
250|4|11.5
250|4|11.5
250|4|12.5
254|10|13.3
254|10|17.1
254|10|13.7
254|10|12.6
254|10|11.9
254|5|16.75
254|5|17
254|5|17
254|2|16
254|2|12.5
254|2|10
254|2|14.5
254|2|14
254|2|14.5
254|2|13.5
254|2|13.5
254|3|12.4
254|3|10.9
254|3|13.2
254|3|16.4
254|3|12
254|7|9.75
254|7|7
254|7|10.75
254|7|8.25
254|7|9.75
254|7|5.25
254|7|11
254|7|10.75
254|7|9.5
254|7|9.5
254|9|10
254|9|11
254|9|11
254|8|6.75
254|8|10.25
254|8|10.75
254|8|12.5
254|8|9.25
254|8|9.25
254|8|7.5
254|8|10.5
254|8|3.25
254|8|4
254|6|6.5
254|6|8
254|6|7.5
254|6|9
254|6|3.5
254|6|7
254|6|8.5
254|1|5
254|1|10.5
254|1|5.5
254|4|10.5
254|4|12.5
254|4|12
265|10|14
265|10|12.6
265|10|12.8
265|10|15.3
265|10|16.4
265|5|14.25
265|5|12.75
265|5|13
265|2|12.5
265|2|15.5
265|2|15.5
265|2|13.5
265|2|17
265|2|15
265|2|13.5
265|2|16.5
265|3|15.3
265|3|18.7
265|3|16.3
265|3|17.1
265|3|16
265|7|9
265|7|12
265|7|10
265|7|11
265|7|10.75
265|7|9.25
265|7|8
265|7|10.25
265|7|7.75
265|7|10.75
265|9|7
265|9|8
265|9|12
265|8|9
265|8|8.75
265|8|9.25
265|8|10
265|8|12.5
265|8|6.75
265|8|13.25
265|8|8.25
265|8|6.25
265|6|6.5
265|6|6.5
265|6|7.5
265|6|3.5
265|6|3.5
265|6|2
265|6|4
265|6|5.5
265|1|12
265|1|7.5
265|1|10
265|4|13.5
265|4|14.5
265|4|15
266|10|12.6
266|10|17.2
266|10|12.6
266|10|17.7
266|10|13.9
266|5|13.25
266|5|11.5
266|5|11.75
266|2|12.5
266|2|12
266|2|12
266|2|12.5
266|2|15
266|2|$
266|2|15
266|2|18
266|3|16.2
266|3|13.2
266|3|11.1
266|3|$
266|3|16
266|7|8.5
266|7|8.25
266|7|10
266|7|6.75
266|7|8.5
266|7|8
266|7|9.5
266|7|11
266|7|9
266|9|12
266|9|9
266|9|10
266|8|17.25
266|8|11.75
266|8|6.75
266|8|9
266|8|10
266|8|9.75
266|8|9.5
266|8|10.75
266|8|11.5
266|8|6.75
266|6|9
266|6|8
266|6|$
266|6|8
266|6|10
266|6|2.5
266|6|6.5
266|6|5.5
266|1|5.5
266|1|5.5
266|1|7.5
266|4|12.5
266|4|13.5
266|4|11
272|10|13.7
272|10|11
272|10|11.4
272|10|13.5
272|10|14.6
272|5|13
272|5|12.25
272|5|11
272|2|13
272|2|11
272|2|14
272|2|$
272|2|13
272|2|13.5
272|2|12.5
272|2|13.5
272|3|15.3
272|3|14.1
272|3|10.2
272|3|11.8
272|3|11.7
272|7|8
272|7|10.5
272|7|12
272|7|7
272|7|10.5
272|7|10.25
272|7|11
272|7|9.5
272|7|6.25
272|7|11.25
272|9|12
272|9|11
272|9|10
272|8|12
272|8|10.5
272|8|9
272|8|9.75
272|8|8.5
272|8|9.25
272|8|6.25
272|8|13
272|8|9.25
272|6|7
272|6|8
272|6|11
272|6|9.5
272|6|6
272|6|9
272|6|9
272|6|9.5
272|1|7
272|1|$
272|1|7
272|4|11.5
272|4|14.5
272|4|11
278|10|13.8
278|10|17.1
278|10|11.9
278|10|12.5
278|10|12.8
278|5|12.25
278|5|19.25
278|5|15
278|2|16
278|2|13
278|2|16.5
278|2|11
278|2|12
278|2|11.5
278|2|14.5
278|2|15
278|3|14.2
278|3|11.1
278|3|13.2
278|3|15.5
278|3|15.4
278|7|8.75
278|7|9.75
278|7|9
278|7|9
278|7|9.5
278|7|9.5
278|7|9.5
278|7|9.5
278|7|9.25
278|9|11
278|9|9
278|9|10
278|8|11.25
278|8|13.25
278|8|11.75
278|8|10.75
278|8|7.5
278|8|11.75
278|8|4.5
278|8|9
278|8|15.25
278|8|9.5
278|6|10.5
278|6|5
278|6|7.5
278|6|8
278|6|7
278|6|6.5
278|6|6.5
278|6|6
278|1|9
278|1|1.5
278|1|9.5
278|4|13
278|4|15
278|4|12.5
282|10|15.5
282|10|19
282|10|17.4
282|10|14.2
282|10|14.3
282|5|16.75
282|5|14
282|5|16.25
282|2|14
282|2|15.5
282|2|8.5
282|2|16.5
282|2|10.5
282|2|14.5
282|2|9
282|2|9
282|3|12.9
282|3|12.1
282|3|12.3
282|3|14.3
282|3|14.2
282|7|10.25
282|7|11.25
282|7|7.75
282|7|10.5
282|7|5.75
282|7|10.5
282|7|7.5
282|7|6.25
282|7|7.5
282|7|7.75
282|9|12
282|9|11
282|9|9
282|8|8.75
282|8|7.5
282|8|4.75
282|8|5.5
282|8|6.25
282|8|12.25
282|8|6.5
282|8|7
282|8|4
282|8|6.5
282|6|2.5
282|6|4.5
282|6|5.5
282|6|12
282|6|3.5
282|6|9.5
282|1|11.5
282|1|0
282|4|11.5
282|4|13.5
282|4|12.5
318|10|13.6
318|10|13.7
318|10|14
318|10|10.4
318|10|13.3
318|5|16.25
318|5|13.5
318|5|15
318|2|13.5
318|2|15
318|2|17.5
318|2|11.5
318|2|14.5
318|2|13
318|2|11
318|2|11
318|3|12.4
318|3|7.6
318|3|16.4
318|3|11.4
318|3|12.3
318|7|12.25
318|7|10
318|7|8.75
318|7|13.25
318|7|8
318|7|8.5
318|7|8.5
318|7|10.5
318|7|7.5
318|7|9.5
318|9|11
318|9|10
318|9|10
318|8|11
318|8|12.25
318|8|8
318|8|15
318|8|10.75
318|8|7.75
318|8|8.25
318|8|8.25
318|8|10
318|8|10
318|6|7
318|6|8
318|6|8
318|6|11
318|6|8
318|6|6.5
318|6|5
318|6|4.5
318|1|8
318|1|9
318|1|10.5
318|4|13.5
318|4|12
318|4|12
323|10|13.4
323|10|14.3
323|10|17
323|10|12.5
323|10|11.3
323|5|17.75
323|5|14.25
323|5|9.5
323|2|11.5
323|2|14
323|2|13.5
323|2|13.5
323|2|14.5
323|2|13.5
323|2|11
323|2|12
323|3|6.6
323|3|18.8
323|3|12.9
323|3|14.1
323|3|12.9
323|7|9.75
323|7|8.25
323|7|8.75
323|7|8.5
323|7|8.5
323|7|12
323|7|8.25
323|7|9
323|7|9
323|7|7.25
323|9|10
323|9|9
323|9|10
323|8|10
323|8|8.5
323|8|10.25
323|8|12
323|8|8.5
323|8|5.75
323|8|7
323|8|11
323|8|9
323|6|6
323|6|8.5
323|6|7
323|6|3
323|6|8.5
323|6|8.5
323|6|10.5
323|6|9
323|1|10.5
323|1|9
323|1|11.5
323|4|13
323|4|13
323|4|14
348|10|9.8
348|10|15.4
348|10|13.8
348|10|11.8
348|5|13.25
348|5|11
348|5|18.5
348|2|$
348|2|10.5
348|2|11
348|2|15.5
348|2|12
348|2|10.5
348|2|8.5
348|2|10.5
348|3|10.9
348|3|8.8
348|3|10.5
348|3|12.3
348|3|11.1
348|7|10
348|7|6.75
348|7|8
348|7|9
348|7|10.75
348|7|8.25
348|7|9.25
348|7|7
348|7|9.5
348|9|12
348|9|10
348|9|12
348|8|11.75
348|8|15
348|8|4.75
348|8|6.75
348|8|7
348|8|8
348|8|8.25
348|8|11.5
348|8|10.25
348|8|12
348|6|13.5
348|6|9.5
348|6|5
348|6|5.5
348|6|8.5
348|6|9
348|6|5.5
348|6|10.5
348|1|4.5
348|1|5
348|1|14
348|4|12.5
348|4|14.5
348|4|12.5
371|10|13.4
371|10|13.1
371|10|10.8
371|10|18.6
371|10|13
371|5|16.75
371|5|18
371|5|17.75
371|2|16
371|2|17.5
371|2|15.5
371|2|14
371|2|10.5
371|2|14.5
371|2|14
371|2|16
371|3|13.9
371|3|13.6
371|3|15.6
371|3|12.9
371|3|15.9
371|7|6.75
371|7|10.75
371|7|11.75
371|7|10.25
371|7|10.5
371|7|9.25
371|7|9.5
371|7|9.75
371|7|11
371|7|8.75
371|9|14
371|9|10
371|9|13
371|8|9.5
371|8|13.5
371|8|13.25
371|8|8.25
371|8|8
371|8|14.25
371|8|10.25
371|8|13.5
371|8|7.75
371|8|14.5
371|6|9
371|6|8.5
371|6|11
371|6|4
371|6|9
371|6|9.5
371|6|10
371|6|2.5
371|1|5.5
371|1|14
371|1|10.5
371|4|13
371|4|11
371|4|12
384|10|13.7
384|10|17.2
384|10|14.1
384|10|12.5
384|10|13.1
384|5|15.25
384|5|12
384|5|16.5
384|2|16.5
384|2|12.5
384|2|9.5
384|2|13.5
384|2|14.5
384|2|15.5
384|2|15.5
384|2|15.5
384|3|12.1
384|3|13.4
384|3|14.2
384|3|13.2
384|3|13.5
384|7|9.75
384|7|9
384|7|8
384|7|9.75
384|7|13.5
384|7|10.5
384|7|11.5
384|7|10.25
384|7|8.25
384|7|8.5
384|9|12
384|9|12
384|9|10
384|8|11.75
384|8|10.75
384|8|13
384|8|11.5
384|8|8.25
384|8|7.25
384|8|12
384|8|8
384|8|11.75
384|8|5.5
384|6|6.5
384|6|9
384|6|9.5
384|6|3.5
384|6|4.5
384|6|7
384|6|8
384|6|8
384|1|5.5
384|1|9
384|1|2.5
384|4|12
384|4|12
384|4|14
435|10|9.9
435|10|12.5
435|10|12.4
435|10|14.4
435|10|10.6
435|5|18.5
435|5|15
435|5|14
435|2|16
435|2|15
435|2|12
435|2|9.5
435|2|16.5
435|2|13
435|2|15.5
435|2|9.5
435|3|10.1
435|3|12.2
435|3|14
435|3|10.5
435|3|13
435|7|9.75
435|7|9.75
435|7|9
435|7|9.25
435|7|9
435|7|10.75
435|7|9.25
435|7|10.25
435|7|9.25
435|7|14.5
435|9|10
435|9|12
435|9|11
435|8|8
435|8|11
435|8|3
435|8|12.5
435|8|5.5
435|8|10.5
435|8|10
435|8|12.75
435|6|7.5
435|6|4.5
435|6|9.5
435|6|8
435|6|9
435|6|6.5
435|6|8.5
435|6|8.5
435|1|5
435|1|7
435|1|10
435|4|12.5
435|4|12
435|4|10.5
458|10|15
458|10|11.9
458|10|13.4
458|10|13.4
458|10|13.6
458|5|12.5
458|5|12
458|5|$
458|2|11.5
458|2|11.5
458|2|12.5
458|2|13
458|2|12.5
458|2|13
458|2|17
458|2|15
458|3|13.9
458|3|15.8
458|3|15.8
458|3|13.1
458|3|13.2
458|7|9.75
458|7|11
458|7|8
458|7|9.25
458|7|9.75
458|7|10.5
458|7|10
458|7|10.75
458|7|9.25
458|7|9.75
458|9|10
458|9|11
458|9|9
458|8|11.75
458|8|13.5
458|8|13.75
458|8|7.75
458|8|12
458|8|4.25
458|8|9.25
458|8|12.25
458|8|9
458|8|9
458|6|10
458|6|4.5
458|6|6.5
458|6|5
458|6|6.5
458|6|9.5
458|6|9
458|6|12
458|1|9
458|1|12
458|1|10.5
458|4|12
458|4|13
458|4|12
487|10|9.2
487|10|15.7
487|10|9.5
487|10|15.5
487|10|12
487|5|19.25
487|5|15
487|5|16
487|2|10
487|2|15.5
487|2|11.5
487|2|15.5
487|2|13.5
487|2|13.5
487|2|13.5
487|2|16
487|3|11.3
487|3|11.9
487|3|9.9
487|3|18.3
487|3|11.5
487|7|8.5
487|7|12.25
487|7|7
487|7|9
487|7|10
487|7|11.5
487|7|12
487|7|10.5
487|7|10.75
487|7|10.5
487|9|12
487|9|10
487|9|12
487|8|10.25
487|8|7
487|8|12.5
487|8|7.75
487|8|10.75
487|8|11.5
487|8|11
487|8|9.5
487|8|3.25
487|8|10.75
487|6|11
487|6|6.5
487|6|8
487|6|5.5
487|6|6.5
487|6|8
487|6|6.5
487|6|11
487|1|9
487|1|9
487|1|10
487|4|12.5
487|4|13.5
487|4|12.5
531|10|15.7
531|10|15.8
531|10|17.6
531|10|12.7
531|10|12.6
531|5|12.25
531|5|15.75
531|5|8.5
531|2|12
531|2|11
531|2|10
531|2|12
531|2|13
531|2|17
531|2|14
531|2|13
531|3|13.5
531|3|12.9
531|3|14.7
531|3|14.2
531|3|14.2
531|7|9
531|7|7.75
531|7|11.25
531|7|10.5
531|7|7.75
531|7|5.25
531|7|7.5
531|7|7.25
531|9|8
531|9|10
531|9|9
531|8|8
531|8|7
531|8|8.25
531|8|10
531|8|6.5
531|8|16
531|8|$
531|8|11.5
531|8|11
531|6|5.5
531|6|3.5
531|6|6.5
531|6|4.5
531|6|7.5
531|6|3.5
531|6|6.5
531|1|9.5
531|1|8
531|1|2.5
531|4|12.5
531|4|13.5
531|4|13
533|10|16.2
533|10|13.6
533|10|13
533|10|15.2
533|10|12.8
533|5|13.75
533|5|9.5
533|5|17.75
533|2|15.5
533|2|10
533|2|13
533|2|10.5
533|2|9
533|2|11
533|2|13.5
533|2|12
533|3|16.2
533|3|15.8
533|3|12.9
533|3|15.5
533|3|12.9
533|7|7.5
533|7|9.75
533|7|7.75
533|7|6.75
533|7|10
533|7|8.5
533|7|7.75
533|7|9.75
533|7|7.75
533|7|7.25
533|9|10
533|9|10
533|9|10
533|8|4.75
533|8|6.75
533|8|5.25
533|8|12.75
533|8|11.75
533|8|12.75
533|8|4.75
533|8|11.25
533|8|6.75
533|8|6.5
533|6|1
533|6|3
533|6|6.5
533|6|5.5
533|6|6
533|6|6.5
533|6|6
533|6|6
533|1|3
533|1|5
533|1|7.5
533|4|14
533|4|13
533|4|13.5
535|10|19.3
535|10|12.7
535|10|10.4
535|10|11.1
535|10|13.2
535|5|12
535|5|18.5
535|5|16.5
535|2|14.5
535|2|13
535|2|13.5
535|2|13
535|2|17
535|2|14
535|2|15.5
535|2|13
535|3|12.3
535|3|13.1
535|3|13.3
535|3|11.3
535|3|9.6
535|7|10.75
535|7|7.25
535|7|9.25
535|7|6.25
535|7|9.25
535|7|10
535|7|8.25
535|7|11.75
535|7|9.75
535|7|14
535|9|11
535|9|11
